dataid,localminute,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,wellpump1,winecooler1,leg1v,leg2v
1222,2019-05-01 00:00:00-05,,,,,,,,,,,,,,0.001,,,,,,,,,0.0,,,,,0.012,,0.109,0.017,,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,,-0.002,,,,,,-0.005,,,,,,0.001,,0.0,,123.935,123.804
1222,2019-10-31 23:59:00-05,,,,,,,,,,,,,,0.001,,,,,,,,,0.0,,,,,0.137,,0.235,0.016,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,-0.001,,,,,,-0.005,,,,,,0.001,,0.0,,122.281,122.143
3000,2019-05-01 00:00:00-05,0.006,,,,,,,0.005,,,,,,0.075,,,0.001,,,,0.0,,0.0,,0.111,,,,,0.46,0.018,,,,,,,,0.003,0.004,,,,,,,0.014,,,,,,,,,,,,0.008,,,,,,,0.001,-0.002,,,,,,,,,122.343,122.258
3000,2019-10-31 23:59:00-05,0.006,,,,,,,0.003,,,,,,0.002,0.0,,0.001,,,,0.0,,0.0,,0.077,,,,,0.386,0.018,,,,,,,,0.004,0.004,,,,,,,0.016,,,,,,,,,,,,0.019,,,,,,,0.0,-0.002,,,,,,,,,122.43,122.692
9053,2019-05-01 00:00:00-05,,,,,,,,,,,,,,0.084,,0.009,0.0,,,,0.0,,0.0,,,,,,,0.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,,,,,,,,,,,0.417,,-0.002,,121.901,121.817
9053,2019-10-31 23:59:00-05,,,,,,,,,,,,,,0.006,,0.0,0.0,,,,0.0,,0.0,,,,,,,0.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.117,,,,,,,,,,,0.494,,-0.002,,119.912,120.2
5679,2019-05-01 00:00:00-05,,,,,,,,0.001,,,,,,0.003,,,,,,,,,,,,,,0.003,,0.382,,,,,,,,,0.038,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,,,,,,,,,,119.885,120.03
5679,2019-10-31 23:59:00-05,0.104,,,,,,,0.011,,,,,,0.003,,,,,,,,,,,,0.015,,0.003,,0.587,,,,,,,,,0.162,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,,,,,,,,,120.751,121.0
27,2019-05-01 00:00:00-05,0.524,0.06,,,,,,,,,,,,0.003,,,,0.001,,,,,,,0.169,,,0.001,,0.829,,,,,,,,,0.005,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003,,,,,,0.001,,0.0,,117.928,118.05
27,2019-10-31 23:59:00-05,0.614,0.059,,,,,,,,,,,,0.003,,,,0.002,,,,,,,0.087,,,0.001,,0.843,,,,,,,,,0.005,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004,,,,,,0.001,,0.0,,120.049,120.097
3517,2019-05-01 00:00:00-05,0.0,,,,,,,,,,,,,,,,,0.005,,,,,,,0.023,0.005,,0.944,,1.47,,,,,,,,,0.189,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,119.326,118.887
3517,2019-10-31 23:59:00-05,0.0,,,,,,,,,,,,,,,,,0.011,,,,,,,0.014,0.007,,0.008,,0.865,,,,,,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,120.636,121.376
5058,2019-05-01 00:00:00-05,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,0.247,,,,0.0,,0.042,,,,,,,,,,,,,,0.03,,,0.0,,,,,,,0.0,0.001,,,,,-0.006,,,,,,,,,,121.714,121.671
5058,2019-10-31 23:59:00-05,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,1.735,,,,0.0,,1.598,,,,,,,,,,,,,,0.031,,,0.0,,,,,,,-0.002,0.004,,,,,-0.007,,,,,,,,,,123.329,122.431
