dataid,localminute,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,wellpump1,winecooler1,leg1v,leg2v
27,2019-05-01 00:00:00-05,0.524,0.06,,,,,,,,,,,,0.003,,,,0.001,,,,,,,0.169,,,0.001,,0.829,,,,,,,,,0.005,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003,,,,,,0.001,,0.0,,117.928,118.05
27,2019-10-31 23:59:00-05,0.614,0.059,,,,,,,,,,,,0.003,,,,0.002,,,,,,,0.087,,,0.001,,0.843,,,,,,,,,0.005,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004,,,,,,0.001,,0.0,,120.049,120.097
142,2019-05-01 00:00:00-05,,,,,,,,,,,,,,,,,,0.001,,,0.0,,,,0.652,,,,,0.783,0.008,,,,,,,,0.004,0.001,0.053,0.007,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,-0.002,,,,,,,,,,121.541,121.788
142,2019-10-31 23:59:00-05,,,,,,,,,,,,,,,,,,0.001,,,0.0,,,,0.102,,,,,0.462,0.009,,,,,,,,0.004,0.001,0.14,0.036,,,,,,,,,,,0.0,,,,,,,,0.103,,,,,-0.001,,,,,,,,,,121.525,121.565
387,2019-05-01 00:00:00-05,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.212,0.104,,,,,,,,0.002,0.001,,,,,,,,,,,,,0.003,,,,,,,,0.002,,,,,-0.002,,,,0.055,,,,,,122.734,122.664
387,2019-10-31 23:59:00-05,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.203,0.02,,,,,,,,0.001,0.001,,,,,,,,,,,,,0.003,,,,,,,,0.002,,,,,-0.002,,,,0.143,,,,,,123.351,123.184
558,2019-05-01 00:00:00-05,0.082,,,,,,,,,,,,,,,,0.001,,,,,,0.001,,0.198,0.005,,,,0.8,,,,,,,0.123,,0.029,0.0,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,120.655,120.524
558,2019-10-31 23:59:00-05,0.084,,,,,,,,,,,,,,,,0.001,,,,,,0.001,,0.108,0.006,,,,0.445,,,,,,,0.135,,0.002,0.001,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,122.533,122.344
914,2019-05-01 00:00:00-05,,,,,,,,,,,,,,,,,0.002,,,,,,0.001,,,,,0.001,,0.659,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,0.0,,,,,,-0.002,,,,,,,,,,122.413,122.057
914,2019-10-31 23:59:00-05,,,,,,,,,,,,,,,,,0.002,,,,,,0.001,,,,,0.0,,0.51,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,0.0,,,,,,-0.003,,,,,,,,,,123.286,122.926
950,2019-05-01 00:00:00-05,0.223,0.0,,,,,,,,,,,,,,,0.001,,,,,,0.001,,,0.092,0.088,,,0.959,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,0.002,0.002,0.128,,,0.0,,-0.012,,,,,,0.0,,,,121.171,121.272
950,2019-10-31 23:59:00-05,0.0,0.0,,,,,,,,,,,,,,,0.001,,,,,,0.001,,,0.09,0.097,,,0.537,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,0.0,0.002,0.003,,,0.0,,-0.012,,,,,,0.001,,,,122.864,122.848
1222,2019-05-01 00:00:00-05,,,,,,,,,,,,,,0.001,,,,,,,,,0.0,,,,,0.012,,0.109,0.017,,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,,-0.002,,,,,,-0.005,,,,,,0.001,,0.0,,123.935,123.804
1222,2019-10-31 23:59:00-05,,,,,,,,,,,,,,0.001,,,,,,,,,0.0,,,,,0.137,,0.235,0.016,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,-0.001,,,,,,-0.005,,,,,,0.001,,0.0,,122.281,122.143
1240,2019-05-01 00:00:00-05,0.0,,,,,,,0.03,,,,,,,,,0.0,,0.007,,0.0,,0.0,,0.0,0.146,,,,0.261,0.0,0.0,,,,,,,0.001,0.001,0.002,0.0,0.0,0.013,,,0.15,,0.002,,,,,,,,,,,0.005,0.003,,,,,-0.004,,,,,,0.001,,0.0,,121.381,121.298
1240,2019-10-31 23:59:00-05,0.0,,,,,,,0.005,,,,,,,,,0.0,,0.007,,0.001,,0.0,,0.066,0.0,,,,0.156,0.0,0.0,,,,,,,0.001,0.001,0.002,0.0,0.0,0.013,,,0.159,,0.002,,,,,,,,,,,0.005,0.003,,,,,-0.004,,,,,,0.001,,0.0,,121.325,121.422
1417,2019-05-01 00:00:00-05,-0.001,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,0.25,0.009,,,,0.329,,,,,,,,,0.007,,0.02,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,122.07,122.078
