dataid,localminute,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,wellpump1,winecooler1,leg1v,leg2v
8156,2018-01-01 00:00:00-06,0.0,,,,,,,,,,,,,0.0,,,0.001,,,,0.001,,0.0,,,0.0,,,,0.788,,,,,,,,,0.033,0.002,0.013,0.153,,,,,,,0.001,,,,0.005,,,,,,,,0.084,,,,,-0.005,,,,,,,,,,,
8156,2018-02-05 21:17:00-06,0.0,,,,,0.009,,,,,,,,0.0,,,0.001,,,,0.0,,0.0,,,0.008,,,,0.78,,,,,,,,,0.036,0.002,0.011,0.216,,,,,,,0.001,,,,0.004,,,,,,,,0.08,,,,,-0.005,,,,,,,,,,123.663,123.92
7719,2018-01-01 00:00:00-06,0.001,,,,,,,0.006,,,,,,0.001,,,0.0,,,,0.066,0.006,,0.377,,0.722,,,,1.877,,,,,,,,,0.009,0.007,,,,,,,,,0.003,,,,0.004,,,,,,,,0.183,,,,,-0.008,,,,,0.002,,,,,,
7719,2018-02-27 21:57:00-06,0.0,,,,,,,0.006,,,,,,0.002,,,0.001,,,,0.002,0.007,,0.001,,0.007,,,,0.97,,,,,,,,,0.01,0.04,,,,,,,,,0.003,,,,0.004,,,,,,,,0.035,,,,,-0.006,,,,,-0.001,,,,,121.918,122.289
4373,2018-01-01 00:00:00-06,0.0,,,,,0.027,,0.068,,,,,,0.001,,,,,,,0.004,0.002,0.011,,,0.037,,,,1.76,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.111,,,,,-0.014,,,,,0.023,,,,,,
4373,2018-02-23 04:22:00-06,0.0,,,,,0.0,,0.018,,,,,,0.002,,,0.0,,,,0.001,0.0,0.002,,,0.028,,0.005,,0.409,,,,,,,,,0.002,0.002,,,,,,,,,0.004,,,,,,,,,,,,0.102,,,,,-0.009,,,,,0.036,,,,,123.043,123.097
6139,2018-01-01 00:00:00-06,,,,,,0.002,,,,,,,,0.058,,,0.004,,,,0.859,,,,,,,,,2.444,,,,,,,,,,,0.0,,,,,,0.218,,,0.149,,,,,,,,,,,,,,,,-0.006,,,,,,,,,,,
6139,2018-02-01 10:50:00-06,0.003,,,,,,0.001,,,,,,,0.002,,,0.002,,,,0.001,,0.0,,,0.012,,0.162,,-0.167,,,,,,,,,0.088,,0.001,0.049,,,,,0.172,,,0.42,0.0,,,,,,,,,0.004,,,,,,1.229,,,,,,,,,,119.663,119.765
4767,2018-01-01 00:08:00-06,0.003,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.008,,,,0.657,,,,,,,,,,,,,,,,,,,0.002,,,,0.009,,,,,,,,,,,,,-0.002,,,,,,,,,,,
4767,2018-02-01 02:11:00-06,-0.002,,,,,,,,,,,,,0.002,,,,,0.0,,0.0,,0.002,,,0.008,,,,0.411,,,,,,,,,0.001,0.007,,,,,,,,,0.003,,,,0.009,,,,,,,,0.067,,,,,-0.002,,,,,,,,,,123.564,123.663
2335,2018-01-01 18:36:00-06,0.003,,,,,,,,,,,,,0.001,,,,,,,0.0,0.001,0.002,,,0.919,,,,1.565,,,,,,,,,,,,,,,,,,,0.003,,,,0.005,0.007,,,,,,,0.015,,,,,-0.006,,,,,0.0,,,,,,
2335,2018-02-21 02:08:00-06,0.0,,,,,,,,,,,,,0.002,,,0.0,,,,0.001,0.0,0.001,,,0.005,,,,0.464,,,,,,,,,0.002,0.011,,,,,,,,,0.003,,,,0.008,0.008,,,,,,,0.156,,,,,-0.007,,,,,0.0,,,,,123.984,123.817
1642,2018-01-01 00:10:00-06,0.001,,,,,,,,,,,,,0.001,,,,,,,,,0.0,,,,,,,0.359,,,,,,,,,,,,,,,,,,,,,,,0.008,,,,,,,,,,,,,-0.004,,,,,,,,,,,
1642,2018-02-19 13:41:00-06,0.002,,,,,0.002,,,,,,,,0.003,,,0.0,,,,0.001,,-0.002,0.0,,0.414,,,,-0.39,,,,,,,,,0.0,0.002,,,,,,,0.03,,0.004,,,,0.008,,,,,,,,0.146,,,,,1.067,,,,0.0,0.0,,,,,122.13,121.938
661,2018-01-01 01:21:00-06,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.001,,,0.485,,,,1.806,,,,,,,,,,,,,,,,,,,0.002,,,,,,,,,,,,0.121,,,,,-0.002,,,,,,,,,,,
661,2018-02-01 10:56:00-06,0.0,,,,,0.004,,,,,,,,0.001,,,0.0,,,,0.001,0.0,0.0,,,0.011,,,,-2.493,,,,,,,,,0.004,0.002,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,2.946,,,,,,,,,,122.88,123.248
