dataid,localminute,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,wellpump1,winecooler1,leg1v,leg2v
661,2018-01-01 01:21:00-06,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.001,,,0.485,,,,1.806,,,,,,,,,,,,,,,,,,,0.002,,,,,,,,,,,,0.121,,,,,-0.002,,,,,,,,,,,
661,2018-02-01 10:56:00-06,0.0,,,,,0.004,,,,,,,,0.001,,,0.0,,,,0.001,0.0,0.0,,,0.011,,,,-2.493,,,,,,,,,0.004,0.002,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,2.946,,,,,,,,,,122.88,123.248
1642,2018-01-01 00:10:00-06,0.001,,,,,,,,,,,,,0.001,,,,,,,,,0.0,,,,,,,0.359,,,,,,,,,,,,,,,,,,,,,,,0.008,,,,,,,,,,,,,-0.004,,,,,,,,,,,
1642,2018-02-19 13:41:00-06,0.002,,,,,0.002,,,,,,,,0.003,,,0.0,,,,0.001,,-0.002,0.0,,0.414,,,,-0.39,,,,,,,,,0.0,0.002,,,,,,,0.03,,0.004,,,,0.008,,,,,,,,0.146,,,,,1.067,,,,0.0,0.0,,,,,122.13,121.938
2335,2018-01-01 18:36:00-06,0.003,,,,,,,,,,,,,0.001,,,,,,,0.0,0.001,0.002,,,0.919,,,,1.565,,,,,,,,,,,,,,,,,,,0.003,,,,0.005,0.007,,,,,,,0.015,,,,,-0.006,,,,,0.0,,,,,,
2335,2018-02-21 02:08:00-06,0.0,,,,,,,,,,,,,0.002,,,0.0,,,,0.001,0.0,0.001,,,0.005,,,,0.464,,,,,,,,,0.002,0.011,,,,,,,,,0.003,,,,0.008,0.008,,,,,,,0.156,,,,,-0.007,,,,,0.0,,,,,123.984,123.817
2818,2018-01-01 00:00:00-06,0.001,,,,,,,,,,,,,,,,0.001,,,,0.001,,,0.003,,,,,,1.373,,,,,,,,,0.004,,,,,,,,,,0.003,,,,0.007,,,,,,,,0.002,,,,,-0.004,,0.002,,,0.0,,,,,,
2818,2018-02-13 10:35:00-06,0.0,,,,,0.001,,0.008,,,,,,,,,0.001,,,,0.0,,,0.001,,0.011,,,,0.122,,,,,,,,,0.002,,0.0,0.072,,,,,,,0.004,,,,0.008,,,,,,,,0.001,,,,,0.258,,0.002,,,0.0,,,,,122.35,122.496
3039,2018-01-01 18:00:00-06,0.035,,,,,,,,,,,,,,,,,,,,0.001,0.0,0.0,0.0,0.0,,,,,2.083,,,,,,,,,,,,,,,,,0.271,,0.003,,,,0.003,,,,,,,,0.124,,,,,-0.033,,,,,,0.005,0.005,,0.038,,
3039,2018-02-01 01:10:00-06,0.037,,,,,,,,,,,,,,,,0.0,,,,0.001,0.0,0.0,0.0,0.0,,,,,0.815,,,,,,,,,,,,,,,,,0.139,,0.003,,,,-0.001,,,,,,,,0.129,,,,,-0.005,,,,,,0.005,0.006,,0.076,122.956,122.875
3456,2018-01-01 01:23:00-06,0.0,,,,,0.015,,0.005,,,,,,,,,,,,,0.0,0.0,,,,0.487,,,,0.811,,,,,,,0.001,,,,,,,,,,,,0.003,,,,0.008,,,,,,,,0.149,,,,,-0.007,,,,,,,,,,,
3456,2018-02-12 23:14:00-06,0.0,,,,,0.015,,0.005,,,,,,,,,0.001,,,,0.0,0.0,-0.001,,,0.007,,,,0.207,,,,,,,0.001,,,,0.092,0.0,,,,,,,0.003,,,,0.008,,,,,,,0.0,0.003,,,,,-0.009,,,,,,,,,,121.452,121.423
3538,2018-01-01 00:00:00-06,0.005,,,,,,,0.822,,,,,,,,,0.0,,,,0.001,,,0.001,,0.006,,,,1.091,,,,,,,,,0.002,0.003,,,,,,,0.016,,0.003,0.041,,,0.002,,,,,,,,0.12,,,,,0.001,,0.001,,,,,,,,,
3538,2018-02-28 23:59:00-06,-0.002,,,,,0.002,,0.029,,,,,,,,,0.0,,,,0.0,,,0.0,,0.005,,,,0.816,,,,,,,,,0.003,0.004,,,,,,,0.495,,0.003,0.062,,,0.0,,,,,,,,0.127,,,,,-0.002,,0.001,,,,,,,,122.8,122.653
4031,2018-01-01 00:00:00-06,,,,,,,,,,,,,,,,,,,,,0.024,0.0,0.001,,,0.468,,,,1.058,,,,,,,,,,,,,,,,,,,0.003,0.066,,,,,,,,,,,0.005,,,,,-0.002,,,,,,,,,,,
4031,2018-02-03 23:31:00-06,,,,,,,,0.026,,,,,,,,,0.0,,,,0.033,0.0,-0.002,,,0.015,,,,0.549,,,,,,,,,0.004,,0.002,0.008,0.01,,,,,,0.004,0.035,,,,,,,,,,,0.16,,,,,-0.001,,,,,,,,,,122.915,123.027
4373,2018-01-01 00:00:00-06,0.0,,,,,0.027,,0.068,,,,,,0.001,,,,,,,0.004,0.002,0.011,,,0.037,,,,1.76,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.111,,,,,-0.014,,,,,0.023,,,,,,
4373,2018-02-23 04:22:00-06,0.0,,,,,0.0,,0.018,,,,,,0.002,,,0.0,,,,0.001,0.0,0.002,,,0.028,,0.005,,0.409,,,,,,,,,0.002,0.002,,,,,,,,,0.004,,,,,,,,,,,,0.102,,,,,-0.009,,,,,0.036,,,,,123.043,123.097
4767,2018-01-01 00:08:00-06,0.003,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.008,,,,0.657,,,,,,,,,,,,,,,,,,,0.002,,,,0.009,,,,,,,,,,,,,-0.002,,,,,,,,,,,
4767,2018-02-01 02:11:00-06,-0.002,,,,,,,,,,,,,0.002,,,,,0.0,,0.0,,0.002,,,0.008,,,,0.411,,,,,,,,,0.001,0.007,,,,,,,,,0.003,,,,0.009,,,,,,,,0.067,,,,,-0.002,,,,,,,,,,123.564,123.663
5746,2018-01-01 00:00:00-06,0.007,,,0.02,,,,,,,,,,,,,0.002,,,,0.005,,,0.0,,0.036,,,,2.081,,,,,,,,,0.001,0.001,0.002,0.176,,,,,,,0.006,,,,,,,,,,,,0.065,0.0,,,,0.0,,,,,,,,,,,
5746,2018-02-01 01:59:00-06,-0.001,,,0.001,,,,,0.028,,,,,,,,0.002,,,,0.001,,,0.0,,0.037,,,,0.45,,,,,,,,,0.0,0.001,0.003,0.009,0.003,0.009,,,0.003,,0.005,0.001,,,,,,,,,,,0.053,0.125,,,,,,,,,,,,,,121.013,120.154
6139,2018-01-01 00:00:00-06,,,,,,0.002,,,,,,,,0.058,,,0.004,,,,0.859,,,,,,,,,2.444,,,,,,,,,,,0.0,,,,,,0.218,,,0.149,,,,,,,,,,,,,,,,-0.006,,,,,,,,,,,
6139,2018-02-01 10:50:00-06,0.003,,,,,,0.001,,,,,,,0.002,,,0.002,,,,0.001,,0.0,,,0.012,,0.162,,-0.167,,,,,,,,,0.088,,0.001,0.049,,,,,0.172,,,0.42,0.0,,,,,,,,,0.004,,,,,,1.229,,,,,,,,,,119.663,119.765
7536,2018-01-01 00:00:00-06,0.0,,,,,,,0.006,,,,,,,,,,,,,0.0,0.001,0.001,,,0.006,,,,1.118,,,,,,,,,,,,,,,,,,,0.003,,,,0.01,,,,,,,,0.145,,,,,-0.005,,,,,,,,,,,
7536,2018-02-01 02:11:00-06,0.0,,,,,,,0.007,0.082,,,,,,,,0.0,,,,0.0,0.0,0.0,,,0.006,,,,0.439,,,,,,,,,0.0,0.012,0.0,,,,,,,,0.003,,,,0.009,,,,,,,,0.128,,,,,-0.008,,,,,,,,,,123.136,123.075
7719,2018-01-01 00:00:00-06,0.001,,,,,,,0.006,,,,,,0.001,,,0.0,,,,0.066,0.006,,0.377,,0.722,,,,1.877,,,,,,,,,0.009,0.007,,,,,,,,,0.003,,,,0.004,,,,,,,,0.183,,,,,-0.008,,,,,0.002,,,,,,
7719,2018-02-27 21:57:00-06,0.0,,,,,,,0.006,,,,,,0.002,,,0.001,,,,0.002,0.007,,0.001,,0.007,,,,0.97,,,,,,,,,0.01,0.04,,,,,,,,,0.003,,,,0.004,,,,,,,,0.035,,,,,-0.006,,,,,-0.001,,,,,121.918,122.289
7800,2018-01-01 00:04:00-06,0.0,,,,,,,0.007,,,,,,,,,,,,,0.0,0.0,,0.0,,0.51,,,,1.163,,,,,,,,,,,,,,,,,,,0.004,,,,0.0,,,,,,,,0.006,,,,,-0.004,,,,,0.059,,,,,,
7800,2018-02-28 00:51:00-06,0.001,,,,,,,0.037,,,,,,,,,0.001,,,,0.0,0.0,,0.001,,0.005,,,,0.397,,,,,,,,,,,0.067,0.002,0.172,,,,,,0.003,,,,0.0,,,,,,,,0.003,,,,,-0.004,,,,,0.052,,,,,121.97,122.01
7901,2018-01-01 00:00:00-06,0.0,,,,,,,,,,,,,,,,0.002,,,,0.0,0.0,0.004,,,0.447,,,,1.057,,,,,,,,,,,,,,,,,0.183,,0.001,,,,,,,,,,,,0.023,,,,,,,,,,,,,,,,
7901,2018-02-28 23:59:00-06,0.0,,,,,,,0.03,0.029,,,,,,,,0.002,,,,0.002,0.0,0.002,,,0.006,,,,0.25,,,,,,,,,0.005,0.001,0.088,,,,,,0.04,,0.002,,,,,,,,,,,,0.003,,,,,,,,,,,,,,,120.603,120.534
7951,2018-01-01 00:00:00-06,0.0,0.016,,,,0.005,0.562,,,,,,,,,,,,,,0.001,0.0,0.002,,,0.004,0.005,,,1.124,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,0.004,,,,,,,,,,,0.002,,,,,
7951,2018-02-07 15:30:00-06,0.0,0.002,,,,-0.001,0.003,,,,,,,,,,0.002,,,,0.0,0.0,0.001,,,0.003,0.002,,,0.187,,,,,,,,,0.005,,,,,,,,,,0.05,,,,,,,,,,,,0.004,,,,,,,,,,,0.0,,,,122.914,122.858
8565,2018-01-01 00:58:00-06,0.0,,,,,0.001,,,,,,,,,,,0.001,,0.0,,0.001,0.0,0.003,,,0.454,,,,0.611,,,,,,,,,0.002,0.002,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,,,,,,,,,,
8565,2018-01-17 00:28:00-06,0.0,,,,,0.001,,,,,,,,,,,0.001,,0.0,,0.002,0.0,0.001,,,0.014,,,,0.174,,,,,,,0.0,,0.002,0.002,,,,,,,0.012,,0.004,,,,,,,,,,,,0.003,,,,,,,,,,,,,,,122.893,123.033
9019,2018-01-01 00:16:00-06,0.001,,,,,,,,,,,,,,,,,,,,,,0.001,,,0.024,,,,0.617,,,,,,,,,0.002,0.004,,,,,,,,,,,,,,,,,,,,,0.185,,,,,-0.008,,,,,,,,,,,
9019,2018-01-22 17:40:00-06,0.001,,,,,,,,,,,,,,,,0.001,,,,-0.001,,-0.003,,,0.022,,0.085,,0.988,,,,,,,,,0.001,0.004,0.618,0.08,0.01,,,,,,,,,,,,,,,,,,0.157,,,,,-0.012,,,,,,,,,,123.547,124.064
9278,2018-01-01 00:20:00-06,0.042,,,,,,,,,,,,,0.002,,,0.002,,,,0.0,,0.0,,,0.015,0.0,,,0.938,,,,,,,,,0.01,0.002,0.052,,,,,,,,0.003,,,,0.0,0.009,,,,,,,0.157,,,,,-0.004,,,,,,,,,,,
9278,2018-01-02 21:29:00-06,3.222,,,,,,,,,,,,,,,,0.002,,,,0.0,,0.0,,,9.334,,,,22.508,,,,,,,,,0.087,0.002,-0.001,,,,,,,,0.003,,,,-0.002,,,,,,,,0.125,0.132,,,,-0.007,,,,,,,,,,121.336,121.565
8156,2018-01-01 00:00:00-06,0.0,,,,,,,,,,,,,0.0,,,0.001,,,,0.001,,0.0,,,0.0,,,,0.788,,,,,,,,,0.033,0.002,0.013,0.153,,,,,,,0.001,,,,0.005,,,,,,,,0.084,,,,,-0.005,,,,,,,,,,,
8156,2018-02-05 21:17:00-06,0.0,,,,,0.009,,,,,,,,0.0,,,0.001,,,,0.0,,0.0,,,0.008,,,,0.78,,,,,,,,,0.036,0.002,0.011,0.216,,,,,,,0.001,,,,0.004,,,,,,,,0.08,,,,,-0.005,,,,,,,,,,123.663,123.92
8386,2018-01-01 00:00:00-06,0.002,,,,,,,,,,,,,,,,0.001,,,,0.001,0.0,,0.0,,0.447,,,,1.07,,,,,,,,,0.002,0.001,,,,,,,0.052,,0.001,,,,0.001,,,,,,,,0.024,,,,,,,,,,,,,,,,
